Title	Creator	Language	Contributor	Type	Form	Genre	Subject	OriginPlace	Identifier	DateNote	Date1Code	Date2Code	Location	BoxFolder	Collection	Series	Subseries	CreatorType	CreatorRole	ContributorType	ContributorRole	SubjectType	Publisher	Extent	Notes
Harrison, Hubert H., President, The Colored Unity League to Arthur Hillard, 27 October 1925 : autograph letter, signed	Harrison, Hubert H.	English	Hillard, Arthur.	Text	correspondence	autographs (manuscripts)	African American political activists;African American authors;Harrison, Hubert H.;Hillard, Arthur	N.Y., N.Y.	hubert_h_harrison_papers_002	27 October 1925	10/27/1925		Rare Book & Manuscript Library, Columbia University	Box 2, Folder 2	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;personal;personal		1 item (2 pages)	
Harrison, Hubert H. to Dr. Beck, 12 November 1927 : autograph letter, signed	Harrison, Hubert	French	Beck, Dr..	text  	correspondence	autographs (manuscripts)	African American political activists;African American autthors;Harrison, H. H.;Beck, Dr.	Nueva York	hubert_h_harrison_papers_003	12 November 1927	11/12/1927		Rare Book & Manuscript Library, Columbia University	Box 2, Folder 3	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;personal;personal		1 item (2 pages)	
Harrison, Hubert H. to Clifford Smyth, Editor, International Book Review, 23 February 1923 : typed letter, signed	Harrison, H. H.	Spanish	Smyth, Clifford, 1866-.	  text	correspondence	typescripts	African American political activistss;African American authors;Editors;Harrison, H. H.;Smyth, Clifford, 1866-	New York City	hubert_h_harrison_papers_004	23 February 1923	02/23/1923		Rare Book & Manuscript Library, Columbia University	Box 2, Folder 4	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;topical;personal;personal		1 item (2 pages)	
Harrison, Hubert H. to Copyright Office, 29 December 1920 : autograph letter, signed	Harrison, H.H.	German	Library of Congress. Copyright Office.	Text	correspondence	autographs (manuscripts)	African American political activists;African American autthors;Harrison, Hubert H.;Library of Congress., Copyright Office	Nyu-York	hubert_h_harrison_papers_005	29 December 1920	12/29/1920		Rare Book & Manuscript Library, Columbia University	Box 2, Folder 5	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	corporate	Correspondent	topical;topical;personal;corporate		1 item (1 page)	
Harrison, Hubert H. to Edgar [M.] Gray [Grey], undated : autograph letter	Harrison, HH	English	Grey, Edgar M..	txt	correspondence	autographs (manuscripts)	African American political activists;African American authors;Harrison, H. H.;Grey, Edgar M.	Brooklyn, N.Y.	hubert_h_harrison_papers_007	1893-1927	1893	1927	Rare Book & Manuscript Library, Columbia University	Box 2, Folder 7	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;personal;personal		1 item (1 page)	Date inferred from inclusive dates of archival collection
Harrison, Hubert H. to Edgar [M.] Gray [Grey], 7 July 1921 : autograph letter, signed	Harrison, Hubert H.	French	Grey, Edgar M..	rext	correspondence	autographs (manuscripts)	African American political activistss;African American autthors;Harrison, Hubert H.;Grey, Edgar M.	Brooklyn, NY	hubert_h_harrison_papers_008	7 July 1921	07/07/1921		Arthur W. Diamond Law Library, Columbia University	Box 2, Folder 7	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;personal;personal		1 item (2 pages)	
Harrison, Hubert H. to Ernest L. Crandall, 17 March 1922 : typed letter, signed	Harrison, Hubrt H.	Spanish	Crandall, Ernest L., -1950.	text.	correspondence	typescripts	African American political activists;African American authors;Harrison, H. H.;Crandall, Ernest L., -1950	Brooklyn, L.I.	hubert_h_harrison_papers_017	17 March 1922	03/17/1922		Augustus C. Long Health Sciences Library, Columbia University	Box 2, Folder 10	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;personal;personal		1 item (2 pages)	With autograph note signed by Hubert H. Harrison, 1924
Harrison, Hubert H. to Ferdinand Q. Morton, 19 November 1921 : autograph letter, signed	Harison, Hubert H.	German	Morton, Ferdinand Q..	t@!xt	correspondence	autographs (manuscripts)	African American political activists;African American autthors;Harrison, Hubert H.;Morton, Ferdinand Q.	Brooklyn, New York	hubert_h_harrison_papers_018	19 November 1921	11/19/1921		Avery Architectural and Fine Arts Library, Columbia University	Box 2, Folder 11	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;personal;personal		1 item (2 pages)	
Harrison, Hubert H. to Fred R. Moore, undated : autograph letter, signed	Harrison, Hub. H.	English	Moore, Fred R. (Frederick Randolph), 1857-1943.	Text	correspondence	autographs (manuscripts)	African American political activistss;African American authors;Harrison, H. H.;Moore, Fred R. (Frederick Randolph), 1857-1943	Harlem, New York	hubert_h_harrison_papers_019	1893-1927	1893	1927	Barnard College Library	Box 2, Folder 12	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;personal;personal		1 item (2 pages)	Date inferred from inclusive dates of archival collection
Harrison, Hubert H. to Mrs. Irene Harrison, 14 October 1912 : autograph postcard, signed	Harrison, Hibert H.	French	Harrison, Irene Louise.	Text	correspondence	autographs (manuscripts)	African American political activists;African American autthors;Harrison, Hubert H.;Harrison, Irene Louise	Harlem, N.Y.	hubert_h_harrison_papers_020	14 October 1912	10/14/1912		Burke Library at Union Theological Seminary, Columbia University	Box 2, Folder 13	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;personal;personal		1 item	
Harrison, Hubert H. to Dr. Jacob Ross, Principal PS 89, 10 October 1923 : autograph letter, signed	Harrison, Gubert H.	Spanish	Ross, Jacob M..	text  	correspondence	autographs (manuscripts)	African American political activists;African American authors;School principals;Harrison, Hubert H.;Ross, Jacob M.	Harlem, New York, N.Y.	hubert_h_harrison_papers_021	10 October 1923	10/10/1923		Butler Library, Columbia University	Box 2, Folder 14	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;topical;personal;personal		1 item (2 pages)	
Harrison, Hubert H. to Jaime C. Gile : typed letter, 19 April 1921	harrison, Hubert H.	German	Gile, Jaime C..	  text	correspondence	typescripts	African American political activistss;African American autthors;Harrison, Hubert H.;Gile, Jaime C.	Harlem, New York City	hubert_h_harrison_papers_022	19 April 1921	04/19/1921		C.V. Starr East Asian Library, Columbia University	Box 2, Folder 15	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;personal;personal		1 item (1 page)	
Harrison, Hubert H. to J.O.H. Cosgrave, Editor, The Sunday World, 13 November 1921 : autograph letter, signed	Harrion, Hubert H.	English	Cosgrave, John O'Hara, I.	Text	correspondence	autographs (manuscripts)	African American political activists;African American authors;Editors;Harrison, H. H.;Cosgrave, John O'Hara Cosgrave, I	New York City, N.Y.	hubert_h_harrison_papers_023	13 November 1921	11/13/1921		Gabe M. Weiner Music & Arts Library, Columbia University	Box 2, Folder 16	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;topical;personal;personal		1 item (2 pages)	
Harrison, Hubert H. to Lin Harrison, undated : calling card, signed	HARRISON, HUBERT H.	French	Harrison, Irene Louise.	txt	correspondence	visiting cards	African American political activists;African American autthors;Harrison, Hubert H.;Harrison, Irene Louise	Harlem, NY	hubert_h_harrison_papers_024	1893-1927	1893	1927	Business & Economics Library, Columbia University	Box 2, Folder 17	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;personal;personal		1 item	Date inferred from inclusive dates of archival collection
Harrison, Hubert H. to Lin Harrison, undated : valentine card	Harrison, Hubert H.	Spanish	Harrison, Irene Louise.	rext	correspondence	valentines	African American political activistss;African American authors;Harrison, H. H.;Harrison, Irene Louise	Harlem, NYC	hubert_h_harrison_papers_025	1893-1927	1893	1927	Lehman Social Sciences Library, Columbia University	Box 2, Folder 18	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;personal;personal		1 item	Date inferred from inclusive dates of archival collection
Harrison, Hubert H., Associate Editor, to Lothrop Stoddard, 24 June 1920 : typed letter	Harrion, Hubert H.	German	Stoddard, Lothrop, 1883-1950.	text.	correspondence	typescripts	African American political activists;African American autthors;Editors;Harrison, Hubert H.;Stoddard, Lothrop, 1883-1950	NYC	hubert_h_harrison_papers_026	24 June 1920	06/24/1920		Jewish Theological Seminary Library	Box 2, Folder 19	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;topical;personal;personal		1 item (1 page)	
Harrison, Hubert H., Associate Editor, to Lucian B. Watkins, 2 January 1920 : autograph letter, signed	Harrison, Hubert H.	English	Watkins, Lucian Bottow, 1878-.	t@!xt	correspondence	autographs (manuscripts)	African American political activists;African American authors;Editors;Harrison, H. H.;Watkins, Lucian Bottow, 1878-	Brooklyn, NYC	hubert_h_harrison_papers_032	2 January 1920	01/02/1920		Journalism Library, Columbia University	Box 2, Folder 20	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;topical;personal;personal		1 item (1 page)	
Harrison, Hubert H. to Martin J. Healy, the Alderman, c/o the Cayuga Club, 7 December 1921 : autograph letter, signed	HARRISON, HUBERT H.	French	Healy, Martin J. (City council member).	Text	correspondence	autographs (manuscripts)	African American political activistss;African American autthors;City council members;Harrison, Hubert H.;Healy, Martin J. (City council member)	Brooklyn, N.Y., N.Y.	hubert_h_harrison_papers_035	7 December 1921	12/07/1921		Mathematics Library, Columbia University	Box 2, Folder 21	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;topical;personal;personal		1 item (2 pages)	
Harrison, Hubert H., Editor, Negro World to Review of Reviews Co., 23 October 1920 : typed letter	Harrison, Hubert H.	Spanish	Review of reviews (Firm).	text  	correspondence	typescripts	African American political activists;African American authors;Editors;Harrison, H. H.;Review of reviews (Firm)	New York, N.Y.?	hubert_h_harrison_papers_037	23 October 1920	10/23/1920		Science & Engineering Library, Columbia University	Box 2, Folder 23	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	corporate	Correspondent	topical;topical;topical;personal;corporate		1 item (1 page)	
Harrison, Hubert H., Editor, to Thomas Wallace Swann, 11 September 1920 : typed letter	Harrison, HH	German	Swann, Thomas Wallace.	  text	correspondence	typescripts	African American political activists;African American autthors;Editors;Harrison, Hubert H.;Swann, Thomas Wallace	New York, N.Y.	hubert_h_harrison_papers_038	11 September 1920	09/11/1920		Social Work Library, Columbia University	Box 2, Folder 24	Hubert H. Harrison papers	Series I: Correspondence	Sub-series 1.1: A-Z	personal	Correspondent	personal	Correspondent	topical;topical;topical;personal;personal		1 item (1 page)	
